,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales,InvoiceYear,InvoiceMonth,InvoiceDay,InvoiceTime,DayOfWeek,InvoiceHour,DayPeriod
0,536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,22.0,2010,12,1,08:26:00,Wednesday,8,Morning
1,536381,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,1.95,2010,12,1,09:41:00,Wednesday,9,Morning
3,536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,2010-12-01 10:51:00,4.65,17924,United Kingdom,55.800000000000004,2010,12,1,10:51:00,Wednesday,10,Morning
4,536404,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom,13.200000000000001,2010,12,1,11:29:00,Wednesday,11,Morning
5,536412,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 11:49:00,2.95,17920,United Kingdom,2.95,2010,12,1,11:49:00,Wednesday,11,Morning
6,536415,21916,SET 12 RETRO WHITE CHALK STICKS,2,2010-12-01 11:57:00,0.42,12838,United Kingdom,0.84,2010,12,1,11:57:00,Wednesday,11,Morning
7,536446,21651,HANGING GLASS ETCHED TEALIGHT,6,2010-12-01 12:15:00,1.65,15983,United Kingdom,9.899999999999999,2010,12,1,12:15:00,Wednesday,12,Morning
8,536446,22142,CHRISTMAS CRAFT WHITE FAIRY ,2,2010-12-01 12:15:00,1.45,15983,United Kingdom,2.9,2010,12,1,12:15:00,Wednesday,12,Morning
9,536464,90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,2,2010-12-01 12:23:00,1.65,17968,United Kingdom,3.3,2010,12,1,12:23:00,Wednesday,12,Morning
10,536522,22632,HAND WARMER RED RETROSPOT,2,2010-12-01 12:49:00,2.1,15012,United Kingdom,4.2,2010,12,1,12:49:00,Wednesday,12,Morning
12,536531,22726,ALARM CLOCK BAKELIKE GREEN,9,2010-12-01 13:23:00,3.75,15485,United Kingdom,33.75,2010,12,1,13:23:00,Wednesday,13,Afternoon
13,536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994,2010,12,1,13:24:00,Wednesday,13,Afternoon
15,536538,21466,RED FLOWER CROCHET FOOD COVER,1,2010-12-01 13:54:00,3.75,14594,United Kingdom,3.75,2010,12,1,13:54:00,Wednesday,13,Afternoon
18,536551,21917,SET 12 KIDS  WHITE CHALK STICKS,1,2010-12-01 14:34:00,0.42,17346,United Kingdom,0.42,2010,12,1,14:34:00,Wednesday,14,Afternoon
19,536557,79321,CHILLI LIGHTS,24,2010-12-01 14:41:00,4.25,17841,United Kingdom,102.0,2010,12,1,14:41:00,Wednesday,14,Afternoon
20,536561,22750,FELTCRAFT PRINCESS LOLA DOLL,4,2010-12-01 15:06:00,3.75,12921,United Kingdom,15.0,2010,12,1,15:06:00,Wednesday,15,Afternoon
21,536562,79302M,"ART LIGHTS,FUNK MONKEY",6,2010-12-01 15:08:00,2.95,13468,United Kingdom,17.700000000000003,2010,12,1,15:08:00,Wednesday,15,Afternoon
22,536597,35271S,GOLD PRINT PAPER BAG,14,2010-12-01 17:35:00,0.19,18011,United Kingdom,2.66,2010,12,1,17:35:00,Wednesday,17,Afternoon
